provnum,STATE,overall_rating,survey_rating,quality_rating,staffing_rating,WEIGHTED_ALL_CYCLES_SCORE,SFF
15379,AL,1,1,2,3,63.333,N
15381,AL,4,4,3,4,20,N
15382,AL,2,1,4,4,206.5,N
15383,AL,2,1,4,4,134.667,N
15386,AL,4,4,3,3,18,N
15388,AL,3,2,5,3,37.333,N
15390,AL,5,4,5,2,15.333,N
15391,AL,3,2,5,3,45.333,N
15392,AL,3,4,1,3,17.333,N
15393,AL,4,4,3,3,20,N
15396,AL,5,4,5,3,18,N
15397,AL,3,2,5,3,45.333,N
15398,AL,3,2,2,4,36.667,N
15400,AL,4,3,2,4,25.333,N
15402,AL,5,4,5,3,14,N
15403,AL,3,2,4,4,38.667,N
15404,AL,3,3,1,4,27.333,N
15406,AL,1,1,1,3,50.667,N
15407,AL,3,2,4,4,31.333,N
15408,AL,3,2,3,4,46.667,N
15410,AL,5,5,2,5,2.667,N
15411,AL,5,4,4,5,20,N
15413,AL,4,4,4,4,16.667,N
15414,AL,4,3,5,2,30,N
15415,AL,2,2,1,4,33.167,N
15416,AL,5,5,5,4,12,N
15417,AL,4,4,3,4,14,N
15419,AL,5,4,5,3,17.333,N
15420,AL,3,2,4,4,44.667,N
15422,AL,5,5,5,3,10.667,N
15423,AL,1,1,1,4,60,N
15424,AL,4,3,4,4,25.333,N
15425,AL,5,3,5,4,31.333,N
15426,AL,5,3,5,5,28.667,N
15429,AL,1,3,1,1,24.667,N
15431,AL,4,4,5,1,18.667,N
15433,AL,3,2,3,4,42.667,N
15434,AL,4,3,5,3,26.667,N
15435,AL,2,1,2,4,52.667,N
15436,AL,3,2,4,4,38,N
15437,AL,4,5,1,4,6.667,N
15440,AL,3,2,5,3,47.333,N
15442,AL,4,3,3,4,31.333,N
15443,AL,3,2,2,5,42.667,N
15445,AL,3,2,2,4,44.667,N
15446,AL,5,4,5,4,20,N
15447,AL,1,3,1,1,26,N
15448,AL,3,4,1,4,16,N
15450,AL,4,4,3,4,14,N
15451,AL,4,4,4,3,21.333,N
15452,AL,4,3,5,3,21.333,N
15453,AL,5,4,5,4,16.667,N
15454,AL,2,1,3,4,196,N
15455,AL,3,2,3,4,36.667,N
15456,AL,5,5,4,4,10,N
15457,AL,5,3,5,4,24,N
15458,AL,2,1,2,4,237,N
15459,AL,5,5,4,4,11.333,N
15460,AL,1,1,3,3,51.333,N
15461,AL,4,3,3,4,28,N
15463,AL,1,1,1,4,53.333,N
15464,AL,5,3,5,5,31.2,N
15465,AL,,,,,0,N
15467,AL,,,,,0,N
15468,AL,,,,,0,N
15642,AL,1,1,1,5,56.667,N
01A193,AL,2,1,5,3,117.833,N
01A208,AL,4,4,5,1,20.667,N
25010,AK,5,4,2,5,58.667,N
25015,AK,4,3,4,5,133,N
25018,AK,3,3,3,,118,N
25019,AK,4,3,3,5,62.667,N
25020,AK,5,5,5,5,39.333,N
25021,AK,5,5,5,5,32.667,N
25024,AK,3,4,1,,52,N
25025,AK,2,1,5,5,513.333,N
25026,AK,3,3,1,5,124,N
25027,AK,5,4,4,5,49.333,N
25028,AK,2,2,1,5,143.5,N
25030,AK,3,2,5,,193.167,N
25031,AK,4,3,4,5,76.667,N
25032,AK,1,1,3,,212.333,N
25034,AK,5,5,3,5,18.667,N
25035,AK,3,3,1,5,60,N
25036,AK,3,2,2,5,140.333,N
25037,AK,1,1,1,5,239.5,N
35003,AZ,3,2,4,4,62.667,N
35004,AZ,2,2,4,3,65.333,N
35014,AZ,3,2,5,2,44.667,N
35016,AZ,4,3,4,4,36.667,N
35059,AZ,4,3,4,5,26.667,N
35062,AZ,2,2,1,4,48,N
35064,AZ,1,1,1,4,95.333,N
35068,AZ,2,1,5,1,147.833,N
35070,AZ,3,2,3,4,42.667,N
35071,AZ,5,4,5,4,22,N
35072,AZ,5,5,5,5,1.333,N
35073,AZ,5,4,5,3,13.333,N
35074,AZ,5,5,4,5,12.667,N
35076,AZ,3,2,3,4,50.667,N
35083,AZ,5,3,5,4,40,N
35084,AZ,4,4,4,4,15.333,N
35085,AZ,2,1,5,4,108.167,N
35086,AZ,1,1,2,3,86,N
35087,AZ,5,5,4,4,6,N
35088,AZ,4,3,4,4,34.667,N
35090,AZ,5,4,5,4,14.667,N
35091,AZ,5,3,5,4,40.667,N
35092,AZ,3,3,4,3,27.333,N
