provnum,STATE,overall_rating,survey_rating,quality_rating,staffing_rating,WEIGHTED_ALL_CYCLES_SCORE,SFF
115509,GA,4,2,5,5,22.667,N
115512,GA,1,1,4,3,27.333,N
115513,GA,4,4,4,3,6,N
115515,GA,5,4,5,2,8.667,N
115516,GA,1,1,3,1,54.667,N
115520,GA,1,2,1,3,25.333,N
115521,GA,5,5,5,2,0.667,N
115522,GA,5,4,5,2,9.333,N
115523,GA,2,3,3,1,15.333,N
115524,GA,5,5,2,4,4,N
115525,GA,2,2,2,2,18.667,N
115528,GA,3,4,4,1,8.667,N
115529,GA,3,3,3,3,12,N
115530,GA,1,1,2,1,522.833,N
115531,GA,3,2,2,4,18,N
115532,GA,3,2,2,4,26.667,N
115533,GA,3,4,2,1,8.667,N
115534,GA,5,4,5,2,4,N
115535,GA,2,2,5,1,23.333,N
115536,GA,2,2,2,2,20,N
115537,GA,2,3,2,1,15.333,N
115538,GA,2,2,3,3,22.667,N
115539,GA,1,2,4,1,24.667,N
115540,GA,1,1,3,1,63.333,N
115541,GA,1,1,3,3,76.5,N
115542,GA,2,1,5,3,42.667,N
115543,GA,2,1,2,4,36,N
115544,GA,2,3,3,1,15.333,N
115545,GA,4,4,5,1,10.667,N
115546,GA,2,3,3,1,10.667,N
115547,GA,1,3,1,1,16.667,N
115550,GA,5,4,5,2,8.667,N
115551,GA,5,3,5,4,11.333,N
115552,GA,2,2,2,3,16.667,N
115553,GA,2,1,3,4,158.333,N
115554,GA,5,3,5,4,12,N
115555,GA,1,1,4,3,48,N
115556,GA,2,2,4,3,23.333,N
115558,GA,2,3,1,2,14.667,N
115559,GA,3,3,2,3,10,N
115560,GA,1,1,4,1,82.333,N
115561,GA,1,1,2,1,45.333,N
115562,GA,3,3,4,2,10,N
115563,GA,1,2,4,1,21.333,N
115564,GA,1,1,4,1,215.333,N
115565,GA,1,1,3,2,72.667,N
115566,GA,5,5,4,2,2,N
115568,GA,2,2,4,2,22.667,N
115569,GA,1,2,4,1,22,N
115570,GA,2,2,2,2,20,N
115571,GA,4,4,4,3,4,N
115573,GA,5,5,3,3,3.333,N
115575,GA,1,2,3,1,21.333,N
115576,GA,4,4,3,2,6.667,N
115577,GA,3,3,3,2,14,N
115578,GA,5,4,5,2,4,N
115579,GA,4,4,3,3,9.333,N
115580,GA,1,1,1,,50.333,N
115582,GA,2,2,4,3,22.667,N
115584,GA,5,5,4,2,1.333,N
115585,GA,1,1,4,1,117.833,N
115586,GA,2,1,5,4,45.333,N
115587,GA,5,5,2,3,2.667,N
115588,GA,3,3,2,3,12.667,N
115592,GA,1,2,4,1,29.333,N
115593,GA,2,2,3,3,20,N
115595,GA,4,4,3,3,6,N
115596,GA,1,1,4,2,265.167,N
115597,GA,2,3,4,1,12,N
115598,GA,4,4,2,3,5.333,N
115599,GA,3,2,5,2,23.333,N
115600,GA,4,4,3,3,10,N
115601,GA,1,1,3,2,43.333,N
115603,GA,2,3,2,1,17.333,N
115604,GA,1,2,2,1,29.333,N
115605,GA,5,5,3,2,4,N
115606,GA,1,2,1,2,20.667,N
115607,GA,1,1,3,,100.667,N
115608,GA,1,1,3,3,58,N
115610,GA,5,4,4,5,6,N
115611,GA,3,4,2,1,5.333,N
115612,GA,2,2,2,3,29.333,N
115613,GA,3,3,4,2,11.333,N
115614,GA,5,4,5,3,4.667,N
115615,GA,4,4,4,3,4.667,N
115616,GA,3,4,2,1,10,N
115617,GA,2,3,3,1,15.333,N
115618,GA,5,4,5,2,10.667,N
115619,GA,1,2,1,1,26.667,N
115621,GA,1,1,1,2,34.667,N
115622,GA,1,1,3,1,103.167,N
115623,GA,1,1,3,2,122.667,N
115624,GA,1,2,4,1,20,N
115625,GA,1,1,1,3,45.667,N
115626,GA,1,2,3,1,16.667,N
115627,GA,5,5,5,3,0.667,N
115628,GA,1,1,3,2,84.333,N
115629,GA,5,5,3,2,2,N
115630,GA,3,2,2,4,19.333,N
115631,GA,3,3,2,2,13.333,N
115633,GA,2,1,5,3,49.333,N
115635,GA,1,1,1,,60,N
115636,GA,1,1,1,1,40.667,N
115638,GA,4,4,3,2,8,N
115640,GA,5,4,4,5,6,N
115641,GA,3,3,2,2,10.667,N
115642,GA,4,3,2,4,10.667,N
115643,GA,4,3,2,4,16.667,N
115644,GA,1,1,2,3,33.333,N
115645,GA,4,4,4,4,6.667,N
115647,GA,1,2,1,2,21.333,N
115649,GA,4,3,5,,15.333,N
115651,GA,2,2,5,1,23.333,N
115652,GA,5,5,5,1,1.333,N
115654,GA,1,1,2,1,55,N
115655,GA,1,1,4,3,116.5,N
115656,GA,3,4,2,1,8.667,N
115657,GA,2,3,2,1,11.333,N
115658,GA,3,3,4,2,12,N
115659,GA,4,4,4,4,5.333,N
115660,GA,3,2,3,4,18,N
115663,GA,5,5,5,4,1.333,N
115665,GA,4,5,1,3,1.333,N
115667,GA,4,4,2,4,5.333,N
115668,GA,4,5,1,2,1.333,N
115670,GA,4,5,2,1,0,N
115671,GA,4,4,4,3,8.667,N
115672,GA,3,3,3,3,15.333,N
115673,GA,5,4,5,3,4.667,N
115674,GA,3,3,4,3,16,N
115675,GA,3,3,3,3,12.667,N
115676,GA,3,4,4,1,8.667,N
115677,GA,1,2,2,1,18,N
115679,GA,2,3,2,1,15.333,N
115680,GA,5,3,5,5,14,N
115681,GA,5,4,5,2,4.667,N
115682,GA,5,5,4,4,1.333,N
115683,GA,4,4,2,2,6.667,N
115684,GA,4,5,1,3,3.333,N
115685,GA,3,2,5,2,18.667,N
115686,GA,1,2,3,1,20.667,N
115687,GA,3,2,3,4,18,N
115688,GA,2,4,1,1,10.667,N
115689,GA,1,2,1,1,32.667,N
115690,GA,5,5,2,4,1.333,N
115691,GA,1,1,4,3,44,N
115692,GA,1,1,1,1,445,N
115693,GA,1,2,1,3,25.333,N
115694,GA,4,4,4,4,4,N
115695,GA,5,5,5,3,2.667,N
115696,GA,4,3,5,3,12.667,N
115697,GA,3,3,2,3,16,N
115700,GA,4,4,5,1,6.667,N
115701,GA,1,1,3,1,45,N
115702,GA,5,4,3,5,8,N
115703,GA,4,4,2,3,10.667,N
115704,GA,3,4,1,4,9.333,N
115705,GA,4,5,2,1,0,N
115706,GA,2,3,1,3,14,N
115707,GA,1,1,2,3,37.333,N
115708,GA,5,4,5,4,6,N
115709,GA,3,3,2,3,14.667,N
115710,GA,1,2,2,1,28,N
115711,GA,2,3,1,3,15.333,N
115712,GA,1,2,1,3,18,N
115713,GA,3,2,3,4,27.333,N
115714,GA,1,1,2,2,90,N
115715,GA,4,4,4,4,7.333,N
115716,GA,5,4,4,5,5.333,N
115717,GA,3,3,4,2,15.333,N
115718,GA,2,1,5,5,40,N
115719,GA,4,3,5,3,12,N
115720,GA,4,4,4,2,10,N
115721,GA,5,4,5,3,8,N
115722,GA,3,3,5,1,12.667,N
115723,GA,4,4,4,4,4.8,N
115724,GA,,,,,0,N
115725,GA,,,,,0,N
115726,GA,,,,,0,N
115771,GA,1,1,2,1,62.667,N
11A186,GA,1,1,4,,54.667,N
11A200,GA,4,3,5,,14.667,N
125002,HI,4,2,5,5,48,N
125003,HI,3,2,4,5,49.667,N
125004,HI,4,4,4,4,26.667,N
125005,HI,5,5,5,4,18,N
125007,HI,5,4,5,4,33.333,N
125009,HI,2,1,5,5,77,N
125010,HI,4,2,5,5,65.333,N
125011,HI,2,1,5,5,72.667,N
125013,HI,5,4,5,2,34.667,N
125014,HI,5,3,5,5,42,N
125015,HI,3,2,3,4,54.667,N
125019,HI,2,1,5,4,66.667,N
125020,HI,2,1,5,3,82.667,N
125021,HI,5,4,5,5,24.667,N
125023,HI,2,1,5,,84.667,N
125024,HI,3,3,5,4,42.667,Y
125026,HI,3,2,5,3,52,N
125028,HI,4,3,5,,35.333,N
125029,HI,2,1,5,5,168.333,N
125030,HI,3,2,5,,55.333,N
125031,HI,4,3,2,5,34.667,N
125032,HI,4,3,4,5,36,N
125033,HI,5,3,5,5,34.667,N
125038,HI,5,3,5,4,36.667,N
125040,HI,3,2,5,2,53,N
125041,HI,2,1,5,3,128,N
125042,HI,5,4,5,4,31.333,N
125043,HI,2,1,5,4,128.333,N
125045,HI,5,5,5,4,14.667,N
125046,HI,1,1,4,3,150.333,N
125047,HI,5,5,5,4,16.667,N
125048,HI,2,1,4,4,76.667,N
125050,HI,5,3,5,4,36.667,N
125051,HI,4,3,5,3,34.667,N
125052,HI,5,4,5,3,31.333,N
125055,HI,5,5,5,,14.667,N
125056,HI,5,3,5,4,38.667,N
125057,HI,5,4,5,5,23.333,N
125058,HI,5,4,5,4,23.333,N
125059,HI,5,4,5,5,24.667,N
125060,HI,5,5,5,,7.333,N
125061,HI,4,3,3,4,44,N
125062,HI,2,2,4,3,62,N
125063,HI,5,5,5,5,14.667,N
125064,HI,,,,,0,N
125065,HI,,,,,0,N
135004,ID,5,5,5,5,13.333,N
135006,ID,2,1,3,4,142,N
135007,ID,3,2,4,5,92.667,N
135010,ID,4,3,5,3,63.333,N
135011,ID,5,3,5,4,70.5,N
135014,ID,3,3,4,3,56.667,N
135015,ID,1,1,2,3,114.333,N
135018,ID,4,2,5,5,79,N
135019,ID,4,3,5,3,60,N
135020,ID,5,4,5,5,45.333,N
135021,ID,5,4,5,3,36,N
135038,ID,2,1,4,5,155,N
135042,ID,2,1,5,4,137.667,N
135048,ID,2,1,4,4,184,N
135051,ID,3,3,4,3,72,N
135052,ID,3,4,5,4,38,Y
135053,ID,5,4,5,4,45.333,N
135055,ID,5,5,2,,28,N
135056,ID,5,4,4,5,41.333,N
135058,ID,4,4,3,4,44,N
135059,ID,4,3,4,5,58.667,N
135060,ID,3,4,1,,54,N
135062,ID,5,4,5,5,50.667,N
135064,ID,5,5,4,4,26.667,N
135065,ID,5,5,5,5,12,N
135066,ID,3,2,2,4,83.333,N
135067,ID,4,3,5,3,73.333,N
135068,ID,5,4,5,4,52.667,N
135069,ID,1,2,1,,90,N
135070,ID,4,2,5,4,106,N
135071,ID,1,1,1,,225.333,N
135075,ID,2,2,1,5,107.667,N
135076,ID,3,3,2,3,66,N
135077,ID,3,2,2,4,88.667,N
135079,ID,2,1,5,4,208,N
135080,ID,5,4,3,5,38,N
135081,ID,1,1,1,,117.333,N
135082,ID,1,1,4,3,115.5,N
135084,ID,2,1,5,,182.667,N
135085,ID,4,3,4,4,65,N
135087,ID,5,4,5,5,31.333,N
135089,ID,5,4,4,5,45.333,N
135090,ID,4,3,2,5,75.333,N
135091,ID,5,4,5,4,44.667,N
135092,ID,2,1,2,4,177.833,N
135093,ID,4,3,5,3,58,N
135094,ID,1,1,1,4,750.333,N
135095,ID,3,2,3,4,104,N
135097,ID,5,5,4,4,26,N
135098,ID,4,2,5,4,86.5,N
135102,ID,3,2,5,2,85.333,N
135103,ID,4,4,4,4,37.333,N
135104,ID,2,2,4,3,105.333,N
135105,ID,4,3,5,3,64.667,N
135110,ID,3,2,5,3,83.333,N
135111,ID,5,4,3,5,52.667,N
135113,ID,3,2,5,2,88,N
135114,ID,5,5,2,,22.667,N
135115,ID,5,5,3,5,24.667,N
135116,ID,4,3,5,3,57.333,N
135119,ID,5,4,2,5,40.667,N
135122,ID,4,2,5,4,78,N
135123,ID,5,4,5,4,43.333,N
135125,ID,2,2,2,3,92.667,N
135127,ID,3,3,4,3,62.667,N
135128,ID,5,4,5,4,30.667,N
135129,ID,5,4,5,4,47.333,N
135130,ID,5,3,5,4,52.5,N
135131,ID,2,1,2,4,185.333,N
135132,ID,5,5,3,4,35.333,N
135133,ID,5,4,5,4,46.667,N
135134,ID,5,5,4,3,14,N
135135,ID,2,1,5,4,137.333,N
135136,ID,4,2,5,4,83.333,N
135137,ID,5,3,5,4,67.333,N
135138,ID,3,2,3,4,112.167,N
135139,ID,4,3,3,4,74,N
135140,ID,5,5,3,5,26.4,N
145000,IL,3,2,4,4,54,N
145004,IL,4,4,4,2,30,N
145006,IL,2,2,3,3,60.667,N
145008,IL,4,4,2,,17.333,N
145011,IL,4,3,5,3,42,N
145012,IL,5,5,5,3,14.667,N
145016,IL,4,3,4,4,37.333,N
145021,IL,2,1,5,4,104.833,N
145024,IL,5,5,4,5,12.667,N
145026,IL,5,4,5,,20.667,N
145027,IL,2,2,5,1,72.667,N
145029,IL,1,1,1,4,80,N
145031,IL,2,1,5,2,81.333,N
145038,IL,1,1,3,3,163.333,N
145039,IL,4,4,4,3,28,N
145043,IL,2,2,1,4,51.333,N
145044,IL,4,4,2,4,24,N
145045,IL,4,4,3,4,18,N
145050,IL,4,3,5,3,43.333,N
145058,IL,4,4,2,2,24,N
145062,IL,5,5,4,3,5.333,N
145070,IL,2,2,2,2,63.167,N
145087,IL,3,2,4,4,52,N
145102,IL,4,4,4,4,16,N
145111,IL,5,4,4,5,15.333,N
145121,IL,5,4,5,4,20.667,N
145122,IL,4,4,3,3,18,N
145126,IL,5,4,5,3,22,N
145135,IL,1,1,1,3,78,N
145136,IL,2,2,1,4,67.333,N
145142,IL,1,1,3,1,104.833,N
145151,IL,4,4,2,2,15.333,N
145160,IL,1,1,2,2,162,N
145171,IL,4,3,5,3,35.333,N
145173,IL,1,1,4,1,77.333,N
145180,IL,4,3,5,,42.667,N
145183,IL,3,2,4,5,65.333,N
145190,IL,1,1,4,3,118.667,N
145197,IL,3,2,5,,63.333,N
145198,IL,3,3,2,2,43.333,N
145199,IL,4,3,3,4,31.333,N
145200,IL,1,1,3,2,109.333,N
145208,IL,2,2,5,1,70,N
145211,IL,2,1,2,4,102,N
145213,IL,4,2,5,4,60.667,N
145216,IL,5,5,2,,13.333,N
145219,IL,4,3,3,4,40,N
145220,IL,1,2,3,1,49.333,N
145221,IL,3,2,5,3,62,N
145222,IL,1,1,2,3,347.667,N
145225,IL,5,5,3,5,2.667,N
145229,IL,4,4,4,3,23.333,N
145234,IL,1,2,4,1,60.667,N
145235,IL,4,4,4,2,16.667,N
145237,IL,1,1,2,1,127.333,N
145239,IL,2,1,5,1,121.667,N
145241,IL,2,1,5,2,95.333,N
145243,IL,2,2,2,2,50,N
145244,IL,1,1,1,3,123.167,N
145246,IL,4,2,5,4,75.333,N
145247,IL,2,3,1,2,36.667,N
145248,IL,1,2,2,1,62,N
145256,IL,4,4,2,3,25.333,N
145257,IL,2,2,2,3,76.667,N
145259,IL,2,2,2,2,48,N
145261,IL,3,3,2,3,42.667,N
145266,IL,2,2,2,3,56.667,N
145267,IL,3,4,1,3,16,N
145268,IL,3,2,4,4,52.667,N
145269,IL,1,1,1,3,144.333,N
145271,IL,4,4,5,1,15.333,N
145273,IL,5,4,5,2,22.667,N
145275,IL,1,1,1,,512.5,Y
145278,IL,1,1,2,3,140.333,N
145285,IL,5,3,5,4,42.667,N
145286,IL,4,5,1,2,11.333,N
145289,IL,1,1,4,1,240.167,N
145290,IL,1,1,4,2,235.333,N
145294,IL,2,3,2,1,46,N
145295,IL,1,1,1,2,123.667,N
145304,IL,4,2,5,5,65,N
145307,IL,3,2,5,2,64.667,N
145308,IL,1,1,2,2,91.333,N
145309,IL,3,3,1,4,41.333,N
145312,IL,3,2,5,2,52.667,N
145314,IL,3,4,1,4,25.333,N
145316,IL,1,2,3,1,70.667,N
145319,IL,3,4,1,2,22.667,N
145323,IL,4,4,4,3,18,N
145324,IL,3,3,4,3,42,N
145329,IL,4,3,4,4,38,N
145333,IL,2,2,3,2,72,N
145334,IL,1,1,1,3,237,N
145336,IL,2,1,3,5,119.333,N
145337,IL,2,2,5,1,56,N
145338,IL,4,2,5,4,53.833,N
145339,IL,3,3,3,2,45.333,N
145341,IL,5,4,5,3,14,N
145343,IL,2,3,3,1,42.667,N
145344,IL,5,3,5,4,36,N
145347,IL,1,1,1,3,93.333,N
145350,IL,4,3,5,3,42.667,N
145358,IL,4,2,5,5,69.333,N
145363,IL,2,1,5,3,78.667,N
145364,IL,2,1,3,4,117.333,N
145367,IL,5,5,2,4,14,N
145370,IL,3,4,1,4,26.667,N
145371,IL,1,1,3,1,343,N
145372,IL,4,3,5,2,46,N
145376,IL,3,3,1,4,37.333,N
145379,IL,4,3,5,2,44.667,N
145380,IL,4,3,2,4,34,N
145381,IL,5,4,5,5,14.667,N
145382,IL,3,2,5,3,54,N
145384,IL,4,4,3,4,29.333,N
145386,IL,4,4,2,3,22,N
145387,IL,1,1,1,3,274,Y
145388,IL,3,2,5,2,74,N
145389,IL,1,1,1,2,181.333,N
145400,IL,2,2,4,2,58.667,N
145403,IL,3,3,4,2,36.667,N
145404,IL,5,4,5,4,20.667,N
145405,IL,4,3,4,4,40,N
145406,IL,4,4,5,1,26,N
145409,IL,5,3,5,5,31.333,N
145410,IL,4,3,4,4,35.333,N
145411,IL,2,3,1,2,38.667,N
145413,IL,3,2,3,4,67.667,N
145414,IL,1,2,1,,48,N
145415,IL,3,3,1,5,30.667,N
145416,IL,3,3,1,4,46.667,N
145417,IL,4,4,1,5,18,N
145418,IL,2,2,2,3,74,N
145419,IL,1,1,1,2,151.667,N
145420,IL,1,1,3,1,102,N
145422,IL,2,2,3,2,56,N
145424,IL,1,1,2,2,222,N
145426,IL,2,2,4,3,48.667,N
145427,IL,1,1,1,1,86.333,N
145429,IL,1,1,3,1,87.333,N
145430,IL,3,3,4,3,41.333,N
145431,IL,5,4,5,2,25.333,N
145433,IL,3,3,3,2,42.667,N
145434,IL,3,3,3,,41.333,N
145436,IL,5,5,5,5,4,N
145437,IL,4,4,2,2,15.333,N
145438,IL,1,1,1,1,92.667,N
145439,IL,1,1,3,2,110,N
145440,IL,1,1,1,4,79.167,N
145441,IL,5,4,5,4,23.333,N
145442,IL,1,3,1,1,35.333,N
145443,IL,5,5,4,4,8,N
145445,IL,5,5,5,3,14,N
145446,IL,1,1,1,3,101.667,N
145447,IL,5,4,5,4,21.333,N
145449,IL,4,4,3,3,28,N
145450,IL,4,4,2,3,26.667,N
145452,IL,4,4,3,3,24,N
145453,IL,3,3,4,2,43.333,N
145454,IL,1,2,1,2,70,N
145456,IL,1,2,2,1,53.667,N
145457,IL,4,3,3,5,42,N
145458,IL,5,5,5,4,14,N
145460,IL,1,2,1,3,61.333,N
145464,IL,5,5,4,5,6,N
145465,IL,2,2,2,2,49.667,N
145466,IL,4,4,2,3,30.667,N
145468,IL,4,4,4,3,26.667,N
145469,IL,1,1,2,2,139,N
145470,IL,3,3,4,3,40.667,N
145471,IL,5,4,5,3,27.333,N
145473,IL,2,2,5,1,48.667,N
145475,IL,1,2,1,3,63.333,N
145476,IL,4,4,2,3,22.667,N
145478,IL,1,2,1,2,48,N
145479,IL,3,2,5,2,67.333,N
145480,IL,2,2,3,2,53.333,N
145482,IL,5,3,5,4,45.333,N
145483,IL,5,5,2,3,10.667,N
145484,IL,1,1,2,3,92.667,N
145486,IL,1,1,1,1,140,N
145488,IL,1,1,1,3,116,N
145489,IL,2,3,1,3,40,N
145494,IL,1,1,4,3,92.667,N
145495,IL,5,5,4,2,14,N
145497,IL,2,3,1,3,38.667,N
145499,IL,5,5,3,5,12,N
145500,IL,1,1,1,3,137.333,N
145502,IL,3,3,4,3,45.333,N
145503,IL,1,1,1,3,142.333,N
145507,IL,2,2,2,2,56,N
145508,IL,1,1,4,2,113.333,N
145510,IL,3,2,5,2,60.667,N
145511,IL,2,1,2,4,96,N
145514,IL,2,3,1,3,31.333,N
145515,IL,3,3,3,3,42,N
145517,IL,1,1,1,3,130.333,N
145518,IL,2,1,4,4,128.5,N
145519,IL,3,2,5,2,62.667,N
145522,IL,5,4,5,,20,N
145523,IL,3,4,1,2,28.667,N
145524,IL,3,3,4,3,42.667,N
145526,IL,5,4,3,5,18,N
145527,IL,4,4,4,4,22,N
145532,IL,5,5,2,2,7.333,N
145536,IL,3,3,2,3,39.333,N
145538,IL,3,4,1,3,24,N
145539,IL,5,5,,,2.667,N
145541,IL,5,4,3,5,23.333,N
145546,IL,3,3,2,3,44,N
145547,IL,5,5,3,4,10,N
145548,IL,4,4,3,4,30,N
145549,IL,1,1,2,1,126.667,N
145552,IL,5,5,4,5,11.333,N
145555,IL,1,2,1,1,68.667,N
145556,IL,2,2,2,3,60,N
145557,IL,2,2,3,2,59.333,N
145562,IL,5,4,5,5,18.667,N
145563,IL,4,4,2,3,18.667,N
145564,IL,5,5,4,5,0,N
145566,IL,4,3,2,5,43.333,N
145567,IL,2,1,2,4,107.5,N
145568,IL,4,4,2,4,24.667,N
145571,IL,2,1,5,3,104,N
145572,IL,5,4,3,5,18,N
145573,IL,5,5,4,5,4.667,N
145579,IL,5,4,2,5,16,N
145580,IL,5,5,3,,11.333,N
145581,IL,2,1,5,3,409.167,Y
145582,IL,2,2,3,2,58.667,N
145583,IL,5,5,4,5,11.333,N
145584,IL,1,2,2,1,76,N
145585,IL,2,2,2,2,54,N
145590,IL,4,5,1,,12.667,N
145591,IL,5,3,5,5,40.667,N
145593,IL,5,3,5,4,46.667,N
145596,IL,4,2,5,5,59.333,N
145597,IL,1,2,3,1,50.667,N
145598,IL,4,4,4,3,22,N
145599,IL,3,3,1,5,36,N
145600,IL,3,3,3,3,41.667,N
145601,IL,3,3,2,3,43.333,N
145602,IL,5,4,5,4,22.667,N
145603,IL,1,1,1,3,204.5,N
145604,IL,5,5,5,5,5.333,N
145606,IL,5,4,5,,27.333,N
145607,IL,3,2,5,3,61.333,N
145608,IL,2,1,5,3,153.333,N
145609,IL,5,4,5,4,28.667,N
145610,IL,1,1,2,1,85.333,N
145611,IL,3,2,5,,48,N
145612,IL,5,4,3,5,18.667,N
145613,IL,3,3,4,3,46.667,N
145614,IL,4,3,5,2,30.667,N
145615,IL,5,4,5,4,18,N
145616,IL,4,5,1,4,10.667,N
145618,IL,1,2,3,1,68.667,N
145619,IL,3,3,4,3,36,N
145620,IL,2,1,2,4,126.167,N
145621,IL,3,3,2,2,38.667,N
145623,IL,2,1,3,4,94.667,N
145624,IL,1,1,1,3,221.667,N
145625,IL,1,2,3,1,76.667,N
145626,IL,1,1,1,2,84,N
145628,IL,3,4,1,3,19.333,N
145629,IL,1,2,1,2,50,N
145630,IL,5,4,5,4,24.667,N
145631,IL,2,2,2,3,47.333,N
145632,IL,1,1,2,1,84.667,N
145634,IL,5,3,5,4,34.667,N
145636,IL,1,1,2,1,155.333,N
145637,IL,5,5,4,5,5.333,N
145638,IL,2,2,2,3,56.667,N
145639,IL,3,2,5,2,54.667,N
145640,IL,4,3,3,4,38,N
145643,IL,3,4,1,,26.667,N
145646,IL,4,3,2,4,46,N
145647,IL,5,4,5,4,25.333,N
145648,IL,1,1,3,,80,N
145649,IL,2,3,4,1,36,N
145650,IL,3,2,4,5,64,N
145651,IL,5,4,2,5,20.667,N
145652,IL,4,4,2,3,24.667,N
145654,IL,5,4,5,2,27.333,N
145655,IL,1,2,1,3,62,N
145656,IL,1,1,4,1,95,N
145657,IL,3,2,4,4,50.667,N
145658,IL,1,2,4,1,73.333,N
145659,IL,4,4,3,2,20,N
145660,IL,1,1,3,,182.667,N
145661,IL,2,2,5,1,68.667,N
145662,IL,2,2,2,3,56,N
145663,IL,3,4,1,2,22,N
145664,IL,3,3,3,2,40,N
145665,IL,2,3,1,,36.667,N
145666,IL,5,5,3,3,13.333,N
145667,IL,5,4,5,4,28,N
145668,IL,1,1,3,3,108,N
145669,IL,3,2,3,5,67.333,N
145670,IL,2,2,2,,73.333,N
145671,IL,2,1,5,4,94.5,N
145673,IL,5,4,5,5,20,N
145674,IL,1,1,4,1,152.833,N
145678,IL,3,2,2,5,65.333,N
145679,IL,2,2,4,2,48.667,N
145680,IL,2,2,2,3,47.333,N
145681,IL,3,2,3,4,72,N
145683,IL,5,3,5,5,32,N
145684,IL,2,2,2,2,76,N
145685,IL,3,3,3,3,39.333,N
145686,IL,1,1,1,2,256.833,N
145688,IL,1,1,4,1,113.833,N
145689,IL,5,3,5,4,36,N
145690,IL,4,5,1,5,1.333,N
145691,IL,4,4,3,4,24,N
145692,IL,1,1,1,2,101,N
145694,IL,3,3,1,4,34.667,N
145696,IL,2,2,5,1,59.333,N
145697,IL,5,5,3,4,12,N
145699,IL,5,4,4,5,20,N
145700,IL,3,2,2,4,52.667,N
145701,IL,3,2,2,4,58,N
145702,IL,5,4,5,2,28.667,N
145703,IL,2,1,3,5,79.333,N
145704,IL,5,3,5,5,33.667,N
145706,IL,5,4,5,5,29.333,N
145708,IL,2,3,1,3,36.667,N
145710,IL,3,2,5,,51.333,N
145711,IL,5,3,5,4,45.333,N
145712,IL,1,1,2,2,141.833,N
145713,IL,1,1,2,1,134,N
145714,IL,1,1,3,2,96.667,N
145715,IL,2,3,3,1,32.667,N
145717,IL,4,3,5,2,35.333,N
145718,IL,1,1,4,2,83.833,N
145719,IL,5,3,5,4,38.667,N
145720,IL,1,3,1,1,37.333,N
145721,IL,5,3,5,4,39.167,N
145722,IL,4,4,1,5,18.667,N
145724,IL,5,3,5,5,37.333,N
145726,IL,2,3,1,2,30.667,N
145727,IL,2,3,1,2,30.667,N
145728,IL,5,4,5,4,30.667,N
145729,IL,4,3,3,4,40,N
145730,IL,1,1,4,3,147.833,N
145731,IL,5,4,5,3,29.333,N
145732,IL,2,1,2,4,80,N
145733,IL,2,2,3,3,66.667,N
145734,IL,2,1,5,3,88.667,N
145735,IL,2,2,5,1,72,N
145736,IL,1,1,2,2,92.667,N
145737,IL,5,4,5,4,26.667,N
145739,IL,5,4,5,5,22,N
145740,IL,1,1,2,2,140.167,N
145741,IL,4,3,5,3,37.333,N
145743,IL,4,4,2,,20.667,N
145744,IL,5,5,5,5,14,N
145748,IL,5,4,3,5,20,N
145751,IL,3,2,2,4,67.333,N
145752,IL,4,3,5,2,32.667,N
145753,IL,2,1,5,2,78,N
145757,IL,1,2,1,2,51.333,N
145758,IL,1,1,2,2,221.333,N
145759,IL,5,5,5,2,6,N
145760,IL,1,1,2,2,82,N
145761,IL,3,4,1,2,28,N
145764,IL,1,2,4,1,62.667,N
145765,IL,4,4,3,2,29.333,N
145767,IL,3,2,3,4,51.333,N
145768,IL,1,1,1,5,214.333,N
145769,IL,5,5,5,2,5.333,N
145770,IL,5,5,5,4,12,N
145771,IL,3,2,3,4,51.333,N
145772,IL,4,4,4,4,17.333,N
145773,IL,3,3,1,5,31.333,N
145774,IL,3,2,5,2,53.667,N
145775,IL,4,3,5,2,46.667,N
145776,IL,3,3,4,2,44,N
145778,IL,2,1,5,1,100.667,N
145779,IL,5,4,5,3,28,N
145781,IL,2,2,3,2,73.333,N
145783,IL,5,4,5,3,20,N
145784,IL,1,1,3,1,86,N
145785,IL,3,3,4,3,46.667,N
145786,IL,5,5,5,3,8.667,N
145789,IL,4,3,2,5,32.667,N
145791,IL,2,3,1,3,34.667,N
145792,IL,1,2,4,1,73.333,N
145793,IL,3,2,2,5,69.333,N
145794,IL,4,3,4,5,32,N
145795,IL,1,1,3,2,77.333,N
145796,IL,4,3,5,2,35.333,N
145798,IL,2,2,3,2,60.667,N
145800,IL,2,2,1,4,68.667,N
145801,IL,4,3,4,4,47.333,N
145803,IL,5,3,5,5,42.667,N
145804,IL,4,4,3,,24,N
145806,IL,3,4,3,1,18.667,N
145807,IL,4,4,2,3,28.667,N
145809,IL,2,2,3,2,48,N
145811,IL,2,2,4,2,52.667,N
145813,IL,1,1,3,3,86.333,N
145816,IL,4,3,5,3,34.667,N
145818,IL,1,2,1,1,71.167,N
145819,IL,5,4,5,2,28.667,N
145820,IL,3,3,3,2,37.333,N
145821,IL,5,4,2,5,28.667,N
145825,IL,2,1,2,4,82,N
145827,IL,4,3,4,4,39.333,N
145828,IL,1,1,3,2,96.667,N
145829,IL,2,2,3,2,76.667,N
145830,IL,4,3,5,,40.667,N
145832,IL,3,3,5,1,38,N
145834,IL,2,3,2,1,35.333,N
145835,IL,2,2,2,3,62,N
145836,IL,4,4,4,2,20,N
